Entry Date,Exit Date,Direction,Entry Price,Exit Price,Return,Duration,window,num_std,Sharpe,Max Drawdown,Final Return,Win Rate
2013-07-23,2013-08-01,Short,1.3222,1.3209,0.0009832098018454688,9,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-08-07,2013-08-13,Short,1.3336,1.326,0.005698860227954281,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-08-20,2013-08-28,Short,1.3417,1.3339,0.005813520160989646,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-08-29,2013-09-09,Long,1.3237,1.3252,0.0011331872780840331,11,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-09-11,2013-10-09,Short,1.331,1.3522,-0.01592787377911353,28,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-10-17,2013-10-30,Short,1.3673,1.3737,-0.0046807576976522795,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-10-31,2013-11-13,Long,1.3586,1.3486,-0.007360518180479912,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-11-19,2013-11-20,Short,1.3538,1.3439,0.007312749298271384,1,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-11-22,2013-12-02,Short,1.3557,1.3541,0.0011802021096111411,10,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-12-05,2013-12-18,Short,1.3666,1.3684,-0.0013171374213376435,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-12-19,2013-12-27,Long,1.366,1.3746,0.006295754026354275,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2013-12-30,2014-01-02,Short,1.3802,1.367,0.009563831328793002,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-01-03,2014-01-10,Long,1.3586,1.3668,0.006035624907993512,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-01-17,2014-01-23,Long,1.3537,1.3695,0.011671714560094583,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-01-31,2014-02-06,Long,1.3487,1.3589,0.007562838288722464,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-02-13,2014-02-26,Short,1.3678,1.3686,-0.0005848808305308773,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-02-28,2014-03-03,Short,1.3797,1.3734,0.00456621004566208,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-03-06,2014-03-19,Short,1.3859,1.3815,0.0031748322389782524,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-03-20,2014-04-01,Long,1.3779,1.3793,0.0010160388997750693,12,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-04-03,2014-04-08,Long,1.3716,1.3794,0.005686789151356102,5,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-04-09,2014-04-18,Short,1.3853,1.3808,0.0032483938497076073,9,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-04-25,2014-04-29,Short,1.3831,1.3812,0.0013737256886703873,4,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-04-30,2014-05-08,Short,1.3863,1.3839,0.001731227007141441,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-05-09,2014-06-05,Long,1.3751,1.3663,-0.006399534579303264,27,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-06-10,2014-06-18,Long,1.3546,1.3589,0.0031743688173630374,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-06-25,2014-07-03,Short,1.363,1.3609,0.0015407190022010205,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-07-15,2014-08-08,Long,1.3568,1.341,-0.011645047169811348,24,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-08-19,2014-09-16,Long,1.3318,1.2957,-0.027106172097912613,28,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-09-17,2014-10-08,Long,1.2844,1.273,-0.008875739644970473,21,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-10-15,2014-10-21,Short,1.2817,1.271,0.008348287430756147,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-10-31,2014-11-13,Long,1.2521,1.24752,-0.003657854803929421,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-11-18,2014-11-21,Short,1.2531,1.239,0.011252094804883888,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-12-02,2014-12-10,Long,1.23825,1.24454,0.005079749646678705,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-12-16,2014-12-17,Short,1.25106,1.23305,0.01439579236807194,1,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2014-12-19,2015-02-03,Long,1.22255,1.14642,-0.06227148173898821,46,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
